M/N, Size, Fastest Algorithm, M, N, Mean Time(sec), Standard Deviation(sec), xFaster Combinatorial, xFaster Glynn, xFaster Ryser, Speed Combinatorial(sec), Speed Glynn(sec), Speed Ryser(sec) 
1.0000, 2, Ryser,             2, 2, 0.0000010000, 0.0000004472, 1.4000x, 1.8000x, Fastest!, 0.0000014000 +- 0.0000013565, 0.0000018000 +- 0.0000028213, 0.0000010000 +- 0.0000004472 
0.6667, 3, Glynn,             2, 3, 0.0000010000, 0.0000006325, 1.0000x, Fastest!, 1.5000x, 0.0000010000 +- 0.0000006325, 0.0000010000 +- 0.0000006325, 0.0000015000 +- 0.0000006708 
0.5000, 4, Combinatorial,     2, 4, 0.0000012000, 0.0000004000, Fastest!, 1.1667x, 1.4167x, 0.0000012000 +- 0.0000004000, 0.0000014000 +- 0.0000004899, 0.0000017000 +- 0.0000007810 
0.4000, 5, Combinatorial,     2, 5, 0.0000012000, 0.0000006000, Fastest!, 1.9167x, 1.5833x, 0.0000012000 +- 0.0000006000, 0.0000023000 +- 0.0000004583, 0.0000019000 +- 0.0000003000 
0.3333, 6, Combinatorial,     2, 6, 0.0000019000, 0.0000007000, Fastest!, 2.2632x, 1.3158x, 0.0000019000 +- 0.0000007000, 0.0000043000 +- 0.0000004583, 0.0000025000 +- 0.0000006708 
0.2857, 7, Combinatorial,     2, 7, 0.0000018000, 0.0000007483, Fastest!, 5.9444x, 1.8889x, 0.0000018000 +- 0.0000007483, 0.0000107000 +- 0.0000006403, 0.0000034000 +- 0.0000004899 
1.0000, 3, Combinatorial,     3, 3, 0.0000007000, 0.0000006403, Fastest!, 1.1429x, 1.4286x, 0.0000007000 +- 0.0000006403, 0.0000008000 +- 0.0000007483, 0.0000010000 +- 0.0000006325 
0.7500, 4, Glynn,             3, 4, 0.0000011000, 0.0000003000, 1.3636x, Fastest!, 3.6364x, 0.0000015000 +- 0.0000006708, 0.0000011000 +- 0.0000003000, 0.0000040000 +- 0.0000006325 
0.6000, 5, Glynn,             3, 5, 0.0000021000, 0.0000005385, 1.5238x, Fastest!, 3.1429x, 0.0000032000 +- 0.0000010770, 0.0000021000 +- 0.0000005385, 0.0000066000 +- 0.0000006633 
0.5000, 6, Combinatorial,     3, 6, 0.0000048000, 0.0000004000, Fastest!, 1.0000x, 2.2917x, 0.0000048000 +- 0.0000004000, 0.0000048000 +- 0.0000007483, 0.0000110000 +- 0.0000006325 
0.4286, 7, Combinatorial,     3, 7, 0.0000079000, 0.0000007000, Fastest!, 1.3291x, 2.1899x, 0.0000079000 +- 0.0000007000, 0.0000105000 +- 0.0000005000, 0.0000173000 +- 0.0000004583 
1.0000, 4, Glynn,             4, 4, 0.0000012000, 0.0000004000, 1.2500x, Fastest!, 1.3333x, 0.0000015000 +- 0.0000005000, 0.0000012000 +- 0.0000004000, 0.0000016000 +- 0.0000004899 
0.8000, 5, Glynn,             4, 5, 0.0000022000, 0.0000007483, 2.7727x, Fastest!, 8.9091x, 0.0000061000 +- 0.0000012207, 0.0000022000 +- 0.0000007483, 0.0000196000 +- 0.0000014283 
0.6667, 6, Glynn,             4, 6, 0.0000050000, 0.0000010954, 3.0400x, Fastest!, 9.4000x, 0.0000152000 +- 0.0000008718, 0.0000050000 +- 0.0000010954, 0.0000470000 +- 0.0000011832 
0.5714, 7, Glynn,             4, 7, 0.0000113000, 0.0000006403, 3.0796x, Fastest!, 8.7080x, 0.0000348000 +- 0.0000015362, 0.0000113000 +- 0.0000006403, 0.0000984000 +- 0.0000004899 
1.0000, 5, Glynn,             5, 5, 0.0000024000, 0.0000006633, 2.7083x, Fastest!, 1.6667x, 0.0000065000 +- 0.0000009220, 0.0000024000 +- 0.0000006633, 0.0000040000 +- 0.0000011832 
0.8333, 6, Glynn,             5, 6, 0.0000050000, 0.0000006325, 7.2600x, Fastest!, 32.1200x, 0.0000363000 +- 0.0000017916, 0.0000050000 +- 0.0000006325, 0.0001606000 +- 0.0000217035 
0.7143, 7, Glynn,             5, 7, 0.0000117000, 0.0000006403, 10.2479x, Fastest!, 39.2650x, 0.0001199000 +- 0.0000030480, 0.0000117000 +- 0.0000006403, 0.0004594000 +- 0.0000164633 
1.0000, 6, Glynn,             6, 6, 0.0000047000, 0.0000007810, 8.2979x, Fastest!, 2.3191x, 0.0000390000 +- 0.0000036332, 0.0000047000 +- 0.0000007810, 0.0000109000 +- 0.0000024678 
0.8571, 7, Glynn,             6, 7, 0.0000114000, 0.0000006633, 27.2368x, Fastest!, 115.8158x, 0.0003105000 +- 0.0000479693, 0.0000114000 +- 0.0000006633, 0.0013203000 +- 0.0000203276 
